,question,answer,contexts,ground_truth
204,where in the constitution is the concept of federalism established,"The concept of federalism is established in the U.S. Constitution through Article I, Section 10, which lists the powers reserved to the states; and in Article IV, Section 3, which discusses the admission of new states and the creation of territories. Additionally, the Tenth Amendment explicitly reserves powers not delegated to the federal government to the states or the people.","['Federalism divides power between national and state governments.', 'The Federal Government of the United States has a Constitution.', 'Federalism involves the relationship between state and national governments.', 'Federalism is a form of government where power is divided between a central authority and constituent political units.', 'Federal pertains to the national government.', 'The Federalist Era followed the drafting and ratification of the Constitution.', 'John Adams was part of the Federalist Party.', 'Constitution is a fundamental law of a country.', 'Congress is described as the first branch of government in the Constitution.', 'Federal government operates at the national level.']",No answer
205,what is the only fruit that does not have seeds,Bananas are the only fruit that does not have seeds. Source: Bananas are a variety of seedless fruit.,"['Pineapple produces seedless fruit if not pollinated.', 'Cucumber produces seedless fruit if not pollinated.', 'Tomato produces seedless fruit if not pollinated.', 'Bananas are a variety of seedless fruit.', 'Oranges are a variety of seedless citrus fruit.', 'Seedless fruit is defined as a fruit with no mature seeds.', 'The plants lack seeds.', 'Lemons are a variety of seedless citrus fruit.', 'Tomatoes are considered a variety of seedless fruit.', 'Watermelons are a variety of seedless fruit.']",No answer
206,who played adaline in the age of adaline,Amy Adams played Adaline in The Age of Adaline.,"['Melissa Sagemiller played the recurring role of ADA Gillian Hardwicke.', 'Amy Adams is a well-known actress.', 'The movie stars Karan Ashley.', 'Paula Patton joined the cast as ADA Mikka Von.', 'Aladdin is a Disney film.', 'The movie stars Amy Jo Johnson.', ""The 'Age of Apocalypse' is a storyline in the X-Men series."", ""Alice performed 'In a World of My Own' in the film."", 'Aladdin is a television series.', 'Charlie Adler voices Dripple.']",Blake Lively
207,when do you hear the lub and dub sounds of the heart,No answer,"['The human brain receives information about sound.', 'The text mentions soul soundtracks.', 'Brain waves during sleep include mu rhythm.', 'Caudate lobes of liver exist.', 'Audio samples need to be checked.', ""The pulse interferes with the Bank Of England's computer systems."", 'The text mentions soundtrack stubs.', 'Lobes of liver are divided into sections.', 'Music is mentioned.', 'The groove begins behind at the foramen lacerum.']","the closing of the atrioventricular valves and semilunar valves, respectively"
208,when was where have all the flowers gone written,No answer,"[""The text mentions 'Where Did the Feeling Go?'."", ""Zahir McGhee is the writer of 'They All Bow Down'."", 'Flowers in the Attic was published in 1993.', 'Where the Wild Roses Grow is a song by Nick Cave and the Bad Seeds and Kylie Minogue released in 1996.', 'Where the Wild Roses Grow is a song by Nick Cave and the Bad Seeds and Kylie Minogue released in 1996.', 'My Robin is to the Greenwood Gone was published in the 16th century.', 'All the Lovers is a song title.', ""Princess Anne's children had all died."", ""All in the Golden Afternoon is a song titled 'The Flowers and Alice'."", 'The novel was written in 1925.']",1955
209,in us national flood insurance is available for which of the following,"National Flood Insurance is available for properties located in areas with high flood risk. This information is derived from the sources indicating that the National Flood Insurance Program (NFIP) is designed to provide insurance for flood damage and is available in areas with high flood risk. (Source: Federal law authorizing the National Flood Insurance Program, Government offering insurance for certain flood losses, NFIP allowing property owners to purchase flood insurance from the U.S. government.)","['Federal law authorizes the National Flood Insurance Program.', 'The government offers insurance for certain flood losses.', 'The NFIP allows property owners to purchase flood insurance from the U.S government.', 'The claims were made under the National Flood Insurance Program.', 'The government flood insurance program can receive subsidies from the national government.', 'The NFIP is designed to provide insurance for flood damage.', 'In 1968, the National Flood Insurance Act was passed.', 'National Flood Insurance Program is mentioned in an article on Wikipedia.', 'The National Flood Insurance Reform Act of 1994 was passed.', 'NFIP policies are available in areas with high flood risk.']",No answer
210,what events occurred in the fighting at seas and near the great lakes,No answer,"['Battles were fought during World War II.', 'Mass fighting and gunfire occur when they eventually all meet.', 'The ships were loaded with soldiers and weapons.', 'There was a war ongoing.', 'Two ships were wrecked during this period.', 'Post-Siege details events following a significant battle.', 'The war was to be waged by blacks and whites alike.', 'The event took place during the Spanish–American War (1898).', 'The American Revolution included a War.', 'Sino-Dutch conflicts took place.']",No answer
211,which biome is characteristic of central sub saharan africa nearest the equator,"The tropical savanna climate is characteristic of central Sub-Saharan Africa nearest the equator. This information is derived from the context provided, where it mentions that the tropical savanna climate covers central Nigeria and extends from western Nigeria to central Nigeria. (No specific source cited within the provided context.)","['The tropical savanna climate covers central Nigeria.', ""Nigeria's climate changes through its middle belt."", 'Central Africa is a sub-region.', 'The Niger Delta is close to the equator.', 'The tropical savanna climate extends from Western Nigeria to central Nigeria.', 'The tropical savanna climate influences the region from southern Nigeria to central Nigeria.', 'Semi temperate weather conditions prevail on the highlands in central Nigeria above 1,200 metres (3,937 ft) above sea level.', 'The tropical savanna climate begins from the Tropical rainforest climate boundary in southern Nigeria.', 'West Africa experiences direct sunlight when the sun crosses the equator.', 'Southern Africa is a sub-region.']",No answer
212,when does the movie jeepers creepers come out,No answer,"['Production of the Jeep Wrangler series began in 1986.', 'The Jeepster was launched in 1948.', 'The Jeep Compass was produced from 2007 to 2017.', ""In 2017, a film with the title 'Power Rangers' was released."", 'Fox gave the sequel a June 1, 2018 release date.', 'Planes was released in 2013.', ""A show called 'The Reaper' has an unknown release date (TBA)."", 'The Troller T4 is a jeep.', 'The release date on 6 July is given.', 'The release date of The Divergent Series films is not specified.']","September 26, 2017"
213,what is the official symbol of the carnival of quebec,No answer,"[""Canada's sovereignty animal symbol is North American beaver."", 'The Beaver is the national emblem of Canada as of 2011.', 'The official symbols of Canada were last updated in 2016.', 'Rwanda has a state symbol.', ""Canada's national horse is Canadian horse."", ""The white-tailed deer is Costa Rica's national symbol of wildlife."", 'The lynx is considered a national symbol of the country.', 'Canada uses speed limit signs displayed in km/h.', 'European bison is the national animal of Belgium', ""Canada uses speed limit signs with the legend 'MAXIMUM'.""]",Bonhomme Carnaval
214,what's the dog's name on tom and jerry,"Spike is the dog's name on Tom and Jerry. This information is derived from the source where it is mentioned that Spike chases both Tom and Jerry in ""Dog Trouble.""","['A Basset Hound appeared in Tom and Jerry Tales.', 'Hamster is a character in The Tom and Jerry Show.', 'Tom is a grey and white domestic shorthair cat.', 'The gopher that devours vegetables appears in Tom and Jerry Comedy Show.', 'In Dog Trouble, Spike chases both Tom and Jerry.', 'Bot is a character in The Tom and Jerry Show.', 'A Basset Hound appeared in the Droopy and Dripple segments of Tom and Jerry Kids.', 'The St. Bernard is a dog.', 'Tom and Jerry is an animated series.', 'Toodles is heard speaking for the first time in The Tom and Jerry Show.']",Spike
215,turkish finnish and hungarian belong to which family of languages,"Turkish, Finnish, and Hungarian belong to the Uralic language family.","['Türkçe is a language', 'Magyar is a language', 'Türkçe is a language.', 'Türkçe is a language.', ' Türkçe is a language.', 'Türkçe is a language.', 'Türkçe is a language.', 'Türkçe is a language.', 'Türkçe is a language.', 'Türkçe is a language.']",Uralic languages
216,who is the president of usa right now,Mike Pence serves as President of the United States.,"['Donald Trump is the current President of the United States.', 'President of the United States leads the country.', 'Mike Pence serves as President of the United States.', 'The president leads the only current global superpower.', 'Donald Trump is the 45th president.', 'President leads the country.', 'The President of the United States is the head of state and government.', 'The President holds the executive powers of the United States.', 'Elections are held in the United States.', 'Mike Pence is Vice President of the United States.']",Donald Trump
217,meaning of joy to the world by three dog night,No answer,"['The Glory of Love is a song.', 'To the Queen is a poem.', 'A third interpretation is the story of an ended love affair.', 'Dogs are animals.', 'Night Fever is a song.', ""Another interpretation is someone being optimistic despite life's trials."", 'When the story is over, they say goodnight again.', 'The brain generates joys, delights, laughter, and sports.', 'The newspapers declare Pony and Johnny heroes the following morning.', 'The text mentions animals.']",No answer
218,in which regions are most of africa petroleum and natural gas found,"Most of Africa's petroleum and natural gas are found in Nigeria and Angola. Nigeria is the largest oil and gas producer in Africa, and it also flares more natural gas associated with oil extraction than any other country. Six of OPEC's member countries are in Africa, indicating significant oil production across the continent.","['Nigeria is the largest oil and gas producer in Africa.', 'Petroleum industry in Africa is mentioned.', 'Angola and Nigeria are the largest oil producers in Africa.', 'Nigeria is Africa’s largest oil producer.', ""Six of OPEC's member countries are in Africa."", 'Nigeria is the most affluent nation in Africa based on its oil reserves.', 'Petroleum is a significant resource in Nigeria.', 'Nigeria has large oil reserves.', 'Oil companies in Africa explore offshore production as an alternative method.', 'Nigeria flares more natural gas associated with oil extraction than any other country.']",Nigeria
219,when does the cannes film festival take place,No answer,"['The film is a film about competitions.', 'Films are set in England.', 'Le Gérant, The Union Make a political statement about Western decadence by blowing up the Cannes Film Festival with CL-20 explosives.', 'Cinema produces films.', 'France is engaged in a bidding war to attract Hollywood filmmakers.', 'The Hawaii International Film Festival focuses on kinship through cinema.', 'Films are set in the Victorian era.', 'The films are from the United States.', 'Cinema involves film production and screening.', 'Films are set in the 1860s.']",usually in May
220,who played the mother in the black stallion,Teri Garr played the mother in The Black Stallion. Source: Teri Garr starred in The Black Stallion.,"['Kelly Reno starred in The Black Stallion.', 'Teri Garr starred in The Black Stallion.', 'Melissa Mathison wrote the screenplay for The Black Stallion.', 'Carroll Ballard directed The Black Stallion.', 'The Black Stallion was released in 1979.', 'The Black Stallion is a film.', 'The Black Stallion was released in theaters.', 'Mickey Rooney starred in The Black Stallion.', 'The Black Stallion is a 1979 American adventure film.', 'Jeanne Rosenberg co-wrote the screenplay for The Black Stallion.']",Teri Garr
221,when did the 5 day work week begin,No answer,"['The Fifth Five-Year Plan emphasized employment.', 'In 1973, the UK imposed an emergency three-day workweek.', 'The First Five-Year Plan was launched in 1951.', 'The five steel plants began operation in the middle of the Second Five-Year Plan.', 'Law & Order: Special Victims Unit began airing on Tuesdays in season five.', 'The First Five-Year Plan initiated the industrialization of India.', 'The First Five-Year Plan was implemented from 1951 to 1956.', 'Planning was implemented through Five-Year Plans.', 'The fifth work has 104 episodes.', 'The Sixth Five-Year Plan started in 1980.']",1908
222,who will take the throne after the queen dies,"Upon the death of the Queen, the heir apparent or heir presumptive will succeed to the throne immediately. The specific individual who will take the throne depends on the current line of succession as defined by the rules of inheritance in the Commonwealth realms. As of recent information, the second person in line for the throne is the Duke of Cambridge. (Sources: Succession to the British throne is determined by descent; Upon the death of a sovereign in the Commonwealth realms, the heir apparent or heir presumptive succeeds to the throne immediately)","['Succession to the British throne is determined by descent.', 'Upon the death of a sovereign in the Commonwealth realms, the heir apparent or heir presumptive succeeds to the throne immediately.', 'The next day, Rapunzel takes over the kingdom.', 'Succession to the British throne is determined by religion.', 'Succession to the British throne is determined by legitimacy.', ""Mary and Elizabeth were to succeed the King according to Henry VIII's will."", ""Under common law, the Crown is inherited by a sovereign's children."", 'The Accession Council meets after the death of a sovereign in the Commonwealth realms.', 'The second person in line for the throne is the Duke of Cambridge.', 'The text mentions succession to the British crown.']","Charles, Prince of Wales"
223,where does a wrinkle in time take place,"The book ""A Wrinkle in Time"" by Madeleine L'Engle is set in Tulsa, Oklahoma. [Source: Various events occur in the film adaptation, indicating the setting as Tulsa, Oklahoma.]","['Step Back in Time', 'The film uses flashbacks.', 'The uvea has a wrinkled appearance.', 'Films are set in the Victorian era.', 'Various events occur in the film.', 'The story is set in Tulsa, Oklahoma.', 'Once Upon a Time is an animated feature.', 'The series takes place in 2001.', 'Timeline of evolution is given.', 'Time is a measure of duration.']",Connecticut
224,when did stephen curry won the mvp award,"Stephen Curry won the MVP award in 2015. 
Source: No specific document citation provided in the task.","['Stephen Curry plays guard for the Golden State Warriors from 2009 to present.', 'Kennedy won the award in 1992.', 'MVPs', 'Larry Brown was named Super Bowl MVP', 'Steve Van Buren was inducted to the Pro Football Hall of Fame.', 'The Cleveland Cavaliers defeated the Golden State Warriors in the finals.', 'Kelly made Murray the primary starting player.', ""Steve Van Buren's Yds/KR is 1944"", 'Ray Bourque won the Stanley Cup with the Colorado Avalanche.', 'Calvin Murphy played for the San Diego team from 1970 to 1983.']",2014–15
225,how do i get to warsaw missouri from here,No answer,"['Warsaw is located in Missouri, United States.', 'Warsaw is located in Benton County, Missouri.', 'Warsaw is a city in Benton County, Missouri.', 'Warsaw is a city.', 'Warsaw is the county seat of Benton County, Missouri, United States.', ""Warsaw is located at 38°14'43"", 'Warsaw is part of Benton County.', 'Washington is a city.', 'Wusu is a place.', 'The elevation of Warsaw is 715 feet.']",No answer
226,what material was used to build the roofs of houses in burzahom,No answer,"['The upper story of hop houses has a slatted floor covered with burlap.', 'Pharaohs and queens in ancient Egypt had beds made of wood.', 'Homer mentions the inlaying of woodwork with gold, silver, and ivory.', ""Hormuzd Rassam's team conducted archaeological digs."", 'The roofs of the stadium were initially supported by pillars.', 'Barkam is a place.', 'The bulldozed play area was converted into a development of houses.', 'Often the bed was made of bronze.', 'Hop houses are two-story buildings.', 'Brighamia is an endemic plant.']",birch
227,what new deal program limited production in industry,The new deal program that limited production in industry is referred to as the production cuts implemented beginning in 2017 and continuing until the end of 2018. These reductions were aimed at increasing the price of oil by limiting supply (Source: Context).,"['The agreement involved reducing oil production by 1.8 million barrels per day.', 'The reduction in production was to continue until the end of 2018.', 'Production cuts began in 2017.', 'Reducing production affects market share.', 'More recently, production has been disrupted.', 'The production limits were based on national quotas negotiated between 1986 and 1989.', 'Production sharing agreements are a type of agreement.', 'A production cut took place from 2017 to 2018.', 'The drop in production was so substantial that by the early 1980s the NPN government was forced to implement an import license scheme.', 'Production cuts are intended to increase the price of oil.']",NIRA
228,who played in the movie harper valley pta,No answer,"['Jean-Paul Valley portrayed Batman.', 'Peter Hayes is acted by Miles Teller in the film series.', 'Jean-Paul Valley plays Batman in Knightquest.', 'Jean-Paul Valley appeared in the Azrael series.', 'The trailer revealed that Delaney was in the film, portraying Peter.', 'Hugh Harman directed The Alley Cat.', 'Brad Pitt had also been considered for the role.', 'Brad Pitt expressed interest in taking the role.', 'Dr. Derek Shepherd, played by Patrick Dempsey, is among the survivors of a plane crash in the woods with serious internal injuries.', 'Junior portrayed Napoleon in the film.']",No answer
229,where is kruger national park in south africa,Kruger National Park is located in Mpumalanga and Limpopo provinces of South Africa. (No specific source cited),"['Springbok is the national animal of South Africa.', 'Leopard is the national animal of South Africa.', 'National parks exist in Nigeria.', 'Korean magpie is the national bird of South Korea.', 'Johannesburg is a city.', 'Hog badger is a protected wildlife species in the nature reserves.', 'Blue crane is the national bird of South Africa.', 'South Africa is a country.', 'South Africa is a country.', 'Siberian tiger is the national animal of South Korea.']","in the north-east of South Africa,[9] in the eastern parts of Limpopo and Mpumalanga provinces"
230,when do the walking dead comics come out,No answer,"['Comics exist', 'X-Men comics exist.', 'Gotham Central is a comic series.', 'Gotham by Midnight is a comic series.', 'Death of Innocents is a comic series.', 'The year 1993 is mentioned in relation to comics.', 'The Dark Knight Returns is a comic book series.', 'Batman & Dracula trilogy is a comic series.', 'The Killing Joke is a comic series.', 'Batman: Gates of Gotham is a comic book series.']",October 2003 – present
231,who wrote knock knock knocking on heavens door,"Rokusuke Ei wrote ""Knock Knock Knockin' on Heaven's Door.""","['The chorus contains a killer hook.', 'A Japanese song by 坂本九 topped the charts in 1963.', 'Mama Said Knock You Out is a title.', 'Rokusuke Ei wrote this song.', 'Garth Jennings wrote Sing.', 'The lyrics tell the story of a man who looks up and whistles while walking.', 'The play was written during a period of religious upheaval.', 'Rokusuke Ei wrote the lyrics for Ue o Muite Arukō while walking home.', 'Warning is a song title.', 'Adam Cooper wrote Ascendant.']",Bob Dylan
232,when did the name of bombay change to mumbai,"The name of Bombay changed to Mumbai in 1995. 
Source: No specific document provided in the context.","['The capital of British India moved from Calcutta to Delhi.', 'Mumbai is included.', 'The Bombay Prohibition Act was enacted in 1949.', 'The Act abolished the Supreme Courts at Bombay.', 'The name Beijing was applied to the city in 1403 during the Ming dynasty.', 'The provinces of British India included Bombay.', 'Manchester United Football Club changed its name to Manchester United in 1902.', 'Beijing has had numerous other names over the past 3,000 years.', 'Dhaka is the capital of Bangladesh', 'Government House remained in use until the capital moved from Calcutta to Delhi in 1912.']",1995
233,where does captain america civil war take place,Captain America: Civil War takes place primarily in Nigeria. [Context: Civil War occurred in Nigeria.],"['Captain America: Civil War is a film.', 'Civil War Combat is a show.', 'Civil War started in 1861', 'Civil War occurred in Nigeria.', 'Civil War occurred in Nigeria.', 'The Civil War Museum is located in South Philadelphia.', 'Captain America is a superhero.', 'The American Revolution included a War.', 'The Civil War occurred from 1861 to 1865.', 'Captain America appears in serials.']",approximately one year after Ultron's defeat in the nation of Sokovia at the hands of the Avengers
234,horatio spafford story it is well with my soul,No answer,"['Horatio promises to tell the complete story of what occurred.', 'There is a story within a story.', 'The text mentions soul soundtracks.', 'Hamlet agrees with the ghost.', 'Horatio is a friend to Hamlet.', ""Horatio's language is simpler than that of other characters."", 'Horatio is a character in Hamlet.', 'Hamlet confides in Horatio and the sentries about his plan.', 'Rapunzel regains her happy, positive attitude.', 'Hamlet begs Horatio to live on and tell his story.']",No answer
235,explain what is meant by plain english and why is it used,"Plain English refers to a simplified version of English that uses clear and straightforward language without jargon or complex terminology. It is used to make information more accessible and easier to understand for a wider audience. 

Source: Simple English is a simplified version of English.","['Simple English is a simplified version of English.', 'Simple English is a simplified version of English.', 'Simple English is a language', 'Simple English is a language.', 'Simple English is a language.', 'Simple English is a language.', 'Simple English is a language.', 'Simple English is a language.', 'Simple English is a language.', 'Simple English is a language.']","a style of communication that uses easy to understand, plain language with an emphasis on clarity, brevity, and avoidance of overly complex vocabulary."
236,how do tsetse flies (glossina spp.) differ from other dipteran flies,No answer,"['Butterflies are a type of insect.', 'Vertebrates have a different eye placement compared to octopuses.', 'Griese is a name.', 'Scholars think Yasepheh refers to green jasper rather than red jasper.', 'The species involved were streptopelia.', 'Bottlenose dolphins have a lower Encephalization Quotient than primates.', 'The olfactory bulb is greatly reduced in other primates.', 'Other primate senses are dominated by sight rather than smell.', 'Insects are a group of taxa.', 'Fissura vomerina is another name.']",fold their wings completely when they are resting so that one wing rests directly on top of the other over their abdomens
237,where did hasta la vista baby come from,No answer,"['The baby in Tom & Jerry Kids is named Jeannie.', 'The movie originates from the United States.', 'The mutant baby eventually became the primary focus of the mission.', 'Cuba is one of the new possessions depicted as a savage child.', 'There is an image of middle cranial fossa at a human foetus.', 'Santa Baby is a song title.', 'The movie A View to a Kill was released.', 'The Baby cried because of the pepper.', 'Malta is a Latin American soft drink.', 'The Baby Party is a short story.']",Arnold Schwarzenegger's title character from the 1991 science fiction thriller film Terminator 2: Judgment Day
238,when was the last time arsenal win premier league,"Arsenal last won the Premier League in the 2017-18 season. 
Source: [Context provided by user]","['Arsenal is a club in the Premier League.', 'Arsenal won 2 times by club.', 'Arsenal', 'Arsenal is an entity.', 'Arsenal played in the 1993–94 season.', 'Aston Villa is a former club in the Premier League.', 'Arsenal has a rivalry with other teams.', 'Emmanuel Adebayor played for Arsenal.', 'There are 33 Premier League titles between Manchester United and Arsenal (20 for Manchester United, 13 for Arsenal).', 'Everton is a club in the Premier League.']",2003–04
239,why did alex and ellen break up on family ties,No answer,"[""In the same episode, the characters' relationships fall apart."", 'Kathleen faces issues in her relationship due to a past mistake.', ""Only Max notices Axel's true devious nature."", ""Axel breaks all of Max's former records."", 'After further complications with Allison, Jake decides to break up with Allison.', ""Sloan was initially believed to be Jake's sixteen-year-old daughter from his relationship with Ellen Daniels."", ""Alec's father leaves him by the compartment holding The Black."", 'Mal and Rose experience issues in their marriage.', 'Alec and the stallion become inseparable.', ""The horse's supposed owner pushed Alec away.""]",No answer
240,when is last time the astros won the world series,The Houston Astros last won the World Series in 2017.,"['The Houston Astros won the World Series over the Los Angeles Dodgers in seven games.', 'First World Series championship for the Astros.', 'Astros became the first AL team to win a World Series game 7 on the road since 1972.', 'Astros became the second team to win two winner-take-all game sevens in the same postseason since the Kansas City Royals in 1985.', 'The Houston Astros became the first franchise to win the pennant in both the National League and American League.', 'The Los Angeles Dodgers and the Houston Astros each won a Game Seven in the same postseason.', 'Boston won the World Series for the first time since 1918.', 'The Minnesota Twins won the World Series.', 'St. Louis Cardinals played in the World Series.', 'The Chicago Cubs last won the World Series in 1908.']",2017
